,Minute,Team1:TopLane,Team1:Jungle,Team1:MidLane,Team1:AD Carry,Team1:Support,Team2:TopLane,Team2:Jungle,Team2:MidLane,Team2:AD Carry,Team2:Support,Team1:Gold,Team2:Gold,Team1:Kills,Team2:Kills,Team1:TurretKills,Team2:TurretKills,Team1:InhibitorKills,Team2:InhibitorKills,Team1:DragonKills,Team2:DragonKills,Team1:ElderDragonKills,Team2:ElderDragonKills,Team1:BaronKills,Team2:BaronKills,Team1:AverageLevel,Team2:AverageLevel,Winner,MatchID,Elo
7393,31,14070,10342,9887,13792,7512,8214,13310,12622,8305,7992,55603,50443,38,20,8,2,2,0,1,3,0,0,0,1,14.0,14.8,Team2,EUW1_7192512309,Bronze4
7394,32,14595,10638,10323,14149,7665,8336,13599,12834,8643,8201,57370,51613,39,20,8,2,2,0,1,3,0,0,0,1,14.4,14.8,Team2,EUW1_7192512309,Bronze4
7395,33,14808,10946,10529,14720,7817,8781,14331,13479,8995,8353,58820,53939,39,21,8,2,2,0,1,3,0,0,0,1,14.4,15.4,Team2,EUW1_7192512309,Bronze4
7396,34,15777,11068,10801,15431,8122,8904,14836,13752,9471,8533,61199,55496,43,23,8,2,2,0,1,3,0,0,0,1,15.2,15.6,Team2,EUW1_7192512309,Bronze4
7397,35,15900,11816,11027,15654,8275,9026,15275,13958,9608,8828,62672,56695,44,24,8,2,2,0,2,3,0,0,0,1,15.4,15.8,Team2,EUW1_7192512309,Bronze4
7398,36,16288,12327,11281,16055,8484,9280,15397,14317,9952,8980,64435,57926,44,24,8,2,4,0,2,3,0,0,0,1,15.8,16.0,Team2,EUW1_7192512309,Bronze4
7399,37,16438,12533,11403,16456,8636,9787,16031,15752,10708,9623,65466,61901,44,26,8,2,4,0,2,3,0,0,0,2,16.0,16.8,Team2,EUW1_7192512309,Bronze4
7400,38,16711,12806,11677,16748,8939,10433,16869,16118,10963,9820,66881,64203,44,28,9,2,4,0,2,3,0,0,0,2,16.0,16.8,Team2,EUW1_7192512309,Bronze4
7401,39,16847,13058,11839,17401,9091,10556,17183,16718,11224,10002,68236,65683,44,28,9,2,4,0,2,3,0,0,0,2,16.0,16.8,Team2,EUW1_7192512309,Bronze4
7402,40,17186,13180,12341,17523,9243,10847,18681,17835,11542,10290,69473,69195,44,30,11,2,4,0,2,3,0,0,0,2,16.4,17.2,Team2,EUW1_7192512309,Bronze4
7403,41,17477,13318,12551,18621,9453,11150,18963,17957,12096,10442,71420,70608,46,30,11,2,5,1,2,3,0,0,0,2,16.4,17.4,Team2,EUW1_7192512309,Bronze4
7404,42,17949,13766,12674,19057,9620,11294,19181,18079,12705,10622,73066,71881,46,30,11,2,5,1,3,3,0,0,0,2,17.0,17.4,Team2,EUW1_7192512309,Bronze4
7405,43,18774,13888,12796,19909,9861,11731,19978,18868,13087,10966,75228,74630,48,33,11,3,5,1,3,3,0,0,0,2,17.0,17.4,Team2,EUW1_7192512309,Bronze4
7406,44,19136,14236,12946,21038,10013,11904,20151,19236,13260,11168,77369,75719,51,33,11,4,5,1,3,3,0,0,0,2,17.0,17.6,Team2,EUW1_7192512309,Bronze4
7407,45,19878,14978,13495,21641,10501,12047,20398,19484,13688,11320,80493,76937,51,33,11,4,5,1,3,3,0,0,1,2,17.6,17.6,Team2,EUW1_7192512309,Bronze4
7408,46,20239,15243,13730,21904,10717,12363,21354,20379,14216,11623,81833,79935,51,37,12,4,6,2,3,3,0,0,1,2,17.6,17.6,Team2,EUW1_7192512309,Bronze4
7409,46,20260,15265,13752,21925,10744,12484,21425,20451,14308,11700,81946,80368,51,37,12,5,6,2,3,3,0,0,1,2,17.6,17.6,Team2,EUW1_7192512309,Bronze4
7410,0,500,500,500,500,500,500,500,500,500,500,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,Team2,EUW1_7192498224,Bronze4
7411,1,500,500,500,500,500,500,500,500,500,500,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,Team2,EUW1_7192498224,Bronze4
7412,1,500,500,500,500,500,500,500,500,500,500,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,Team2,EUW1_7192498224,Bronze4
7413,0,500,500,500,500,500,500,500,500,500,500,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,Team2,EUW1_7191419668,Bronze4
7414,1,500,500,500,500,500,500,500,500,500,500,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,Team2,EUW1_7191419668,Bronze4
7415,2,563,611,626,596,524,563,611,521,584,546,2920,2825,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.2,Team2,EUW1_7191419668,Bronze4
7416,3,941,937,962,897,739,739,937,734,797,708,4476,3915,0,0,0,0,0,0,0,0,0,0,0,0,2.6,2.0,Team2,EUW1_7191419668,Bronze4
7417,4,1155,1315,1162,1257,972,1090,1255,1355,1032,886,5861,5618,0,1,0,0,0,0,0,0,0,0,0,0,3.4,3.2,Team2,EUW1_7191419668,Bronze4
7418,5,1494,1640,1347,1478,1148,1408,1532,1561,1686,1217,7107,7404,0,2,0,0,0,0,0,0,0,0,0,0,4.2,4.0,Team2,EUW1_7191419668,Bronze4
7419,6,2451,1972,1704,1848,1368,1573,1792,1789,1857,1385,9343,8396,2,2,0,0,0,0,0,0,0,0,0,0,4.8,4.6,Team2,EUW1_7191419668,Bronze4
7420,7,2784,2227,1961,2384,1709,1864,2019,2410,2450,1917,11065,10660,3,5,0,0,0,0,0,0,0,0,0,0,5.2,5.4,Team2,EUW1_7191419668,Bronze4
7421,8,3582,2349,2244,2806,2000,2086,2161,2664,2626,2148,12981,11685,4,5,0,0,0,0,0,1,0,0,0,0,6.0,5.8,Team2,EUW1_7191419668,Bronze4
7422,9,4260,2786,2395,3224,2293,2300,2433,3215,2874,2618,14958,13440,5,6,0,0,0,0,0,1,0,0,0,0,6.6,6.2,Team2,EUW1_7191419668,Bronze4
7423,10,4445,3446,2849,3480,2552,2617,2650,3407,3011,2917,16772,14602,6,6,0,0,0,0,0,1,0,0,0,0,7.2,6.6,Team2,EUW1_7191419668,Bronze4
7424,11,5992,3829,3215,3818,2842,2883,3337,3805,3667,3458,19696,17150,7,8,1,0,0,0,0,1,0,0,0,0,7.6,7.6,Team2,EUW1_7191419668,Bronze4
7425,12,6427,4151,3431,4162,3390,3190,3806,5090,3958,3697,21561,19741,9,10,1,0,0,0,0,1,0,0,0,0,7.8,7.6,Team2,EUW1_7191419668,Bronze4
7426,13,6877,4315,3699,4530,3624,3314,3930,5366,4210,3951,23045,20771,10,10,1,0,0,0,0,1,0,0,0,0,8.2,8.0,Team2,EUW1_7191419668,Bronze4
7427,14,7594,4727,4926,5648,4127,3507,4238,6001,4698,4506,27022,22950,13,12,2,0,0,0,0,1,0,0,0,0,8.8,8.2,Team2,EUW1_7191419668,Bronze4
7428,15,7801,5034,5204,6378,4404,3948,4522,6402,4821,5437,28821,25130,13,14,3,0,0,0,1,1,0,0,0,0,9.0,9.0,Team2,EUW1_7191419668,Bronze4
7429,16,8137,5911,5860,6535,4557,4176,4762,6545,5387,5706,31000,26576,15,15,3,0,0,0,1,1,0,0,0,0,9.6,9.2,Team2,EUW1_7191419668,Bronze4
7430,17,8400,6297,6090,7173,4709,4519,5128,7104,6121,6416,32669,29288,16,18,3,0,0,0,1,1,0,0,0,0,10.0,9.8,Team2,EUW1_7191419668,Bronze4
7431,18,10130,6645,6557,8291,5107,4978,5365,7793,6534,6828,36730,31498,20,19,4,1,0,0,1,1,0,0,0,0,10.4,10.4,Team2,EUW1_7191419668,Bronze4
7432,19,10302,7304,7156,8897,5484,5617,5537,8055,6807,7030,39143,33046,20,19,7,1,0,0,1,1,0,0,0,0,10.8,10.4,Team2,EUW1_7191419668,Bronze4
7433,20,10766,7447,7279,9020,5831,6503,5950,8890,7465,7390,40343,36198,20,22,7,2,0,0,1,1,0,0,0,0,11.0,10.8,Team2,EUW1_7191419668,Bronze4
7434,21,11748,7830,7894,9958,6139,6760,6242,10016,8080,7823,43569,38921,22,25,9,2,0,0,1,2,0,0,0,0,11.6,11.6,Team2,EUW1_7191419668,Bronze4
7435,22,11896,8311,8130,10580,6316,7032,6456,10690,8956,8375,45233,41509,23,28,10,2,0,0,1,2,0,0,0,0,11.8,12.0,Team2,EUW1_7191419668,Bronze4
7436,23,12018,8636,8827,10703,7020,7154,6860,10905,9619,8619,47204,43157,25,29,10,2,0,0,1,2,0,0,0,0,12.2,12.4,Team2,EUW1_7191419668,Bronze4
7437,24,12203,8924,9041,10858,7187,7584,6982,11384,10160,9007,48213,45117,25,31,10,2,0,0,1,2,0,0,0,0,12.4,12.6,Team2,EUW1_7191419668,Bronze4
7438,25,13069,10130,9739,11274,7416,8878,7145,11538,11287,9186,51628,48034,29,34,10,3,0,0,1,2,0,0,0,0,12.8,13.2,Team2,EUW1_7191419668,Bronze4
7439,26,13275,10498,10166,11425,7568,9075,7342,11899,11782,9684,52932,49782,30,36,10,3,0,0,2,2,0,0,0,0,13.0,13.4,Team2,EUW1_7191419668,Bronze4
7440,27,13878,10770,10526,11568,8021,9511,7689,12215,11929,10059,54763,51403,31,36,10,3,0,0,2,2,0,0,0,0,13.4,13.4,Team2,EUW1_7191419668,Bronze4
7441,28,14014,11331,11008,11906,8323,9826,7987,12546,12462,10212,56582,53033,32,37,10,3,0,0,2,2,0,0,0,0,13.4,13.6,Team2,EUW1_7191419668,Bronze4
7442,29,14238,11454,11507,12224,9052,10302,8234,12871,13460,10529,58475,55396,34,40,10,3,1,0,2,2,0,0,0,0,14.2,14.2,Team2,EUW1_7191419668,Bronze4
7443,30,14534,11686,11630,12530,9219,11035,8406,13692,13728,10942,59599,57803,34,41,10,3,1,0,2,2,0,0,0,0,14.2,14.4,Team2,EUW1_7191419668,Bronze4
7444,31,15214,12379,12247,13532,9779,11612,8528,13815,14381,11213,63151,59549,36,42,10,3,1,0,2,2,0,0,1,0,15.0,14.8,Team2,EUW1_7191419668,Bronze4
7445,32,15446,12502,12522,13684,10236,12291,8785,14398,14584,11775,64390,61833,37,45,10,3,1,0,2,3,0,0,1,0,15.4,15.2,Team2,EUW1_7191419668,Bronze4
7446,33,15772,12835,12687,13806,10465,12720,9202,14520,14933,11976,65565,63351,37,45,10,3,1,0,2,3,0,0,1,0,15.4,15.6,Team2,EUW1_7191419668,Bronze4
7447,34,16600,13172,12946,14083,11236,13135,9343,14840,15365,12167,68037,64850,40,47,10,3,2,0,2,3,0,0,1,0,15.8,15.8,Team2,EUW1_7191419668,Bronze4
7448,35,17727,13345,13068,14226,11389,13341,9661,15234,16566,12319,69755,67121,43,49,10,3,4,0,2,3,0,0,1,0,16.2,16.4,Team2,EUW1_7191419668,Bronze4
7449,36,17884,13793,13190,14454,11541,13902,9804,15690,17339,12860,70862,69595,43,49,10,3,4,0,2,3,0,0,1,0,16.2,16.6,Team2,EUW1_7191419668,Bronze4
7450,37,18048,13950,13376,14761,11694,14551,10016,16368,18701,13182,71829,72818,43,52,10,3,4,0,2,3,0,0,1,0,16.4,17.2,Team2,EUW1_7191419668,Bronze4
7451,38,18171,14072,13498,15073,11886,15063,10215,16595,19399,13647,72700,74919,43,52,10,3,4,0,3,3,0,0,1,0,16.4,17.4,Team2,EUW1_7191419668,Bronze4
7452,39,18593,14540,14260,15661,12567,15931,10842,17883,20172,14032,75621,78860,43,56,10,3,4,0,3,3,0,0,2,0,16.8,17.8,Team2,EUW1_7191419668,Bronze4
7453,40,18715,14739,14383,15816,12720,16507,11215,18492,20704,14477,76373,81395,43,56,10,5,4,1,3,3,0,0,2,0,16.8,17.8,Team2,EUW1_7191419668,Bronze4
7454,41,18883,15061,14883,16138,13077,16639,11593,18615,20989,14634,78042,82470,43,56,10,5,4,1,3,3,0,0,2,0,17.0,18.0,Team2,EUW1_7191419668,Bronze4
7455,42,19554,15412,15005,16538,13800,17060,11840,18908,22553,15275,80309,85636,46,61,10,6,4,1,3,3,0,0,2,0,17.6,18.0,Team2,EUW1_7191419668,Bronze4
7456,42,19584,15442,15036,16569,13838,17141,11921,18989,22634,15414,80469,86099,46,61,10,7,4,1,3,3,0,0,2,0,17.6,18.0,Team2,EUW1_7191419668,Bronze4
7457,0,500,500,500,500,500,500,500,500,500,500,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,Team1,EUW1_7220075826,Bronze4
7458,1,500,500,500,500,500,500,500,500,500,500,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,Team1,EUW1_7220075826,Bronze4
7459,2,598,611,577,598,539,563,611,577,577,524,2923,2852,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.2,Team1,EUW1_7220075826,Bronze4
7460,3,1295,1022,941,846,716,811,993,884,983,731,4820,4402,1,0,0,0,0,0,0,0,0,0,0,0,2.6,2.4,Team1,EUW1_7220075826,Bronze4
7461,4,1569,1335,1253,1218,902,1095,1290,1167,1246,887,6277,5685,1,0,0,0,0,0,0,0,0,0,0,0,3.6,3.2,Team1,EUW1_7220075826,Bronze4
7462,5,1936,1548,1871,1578,1102,1378,1522,1430,1599,1092,8035,7021,2,0,0,0,0,0,0,0,0,0,0,0,4.4,4.2,Team1,EUW1_7220075826,Bronze4
7463,6,2321,1949,2193,1764,1265,1515,1839,1723,2306,1360,9492,8743,2,1,0,0,0,0,0,0,0,0,0,0,5.0,4.8,Team1,EUW1_7220075826,Bronze4
7464,7,2499,2071,2867,1977,1479,1745,2191,1989,2808,1629,10893,10362,3,2,0,0,0,0,0,1,0,0,0,0,5.4,5.4,Team1,EUW1_7220075826,Bronze4
7465,8,2901,2280,3147,2280,1673,2091,2469,2229,3166,1850,12281,11805,3,2,0,0,0,0,0,1,0,0,0,0,6.0,6.0,Team1,EUW1_7220075826,Bronze4
7466,9,3250,2687,3580,2522,1894,2412,2810,2531,4088,2379,13933,14220,3,4,0,0,0,0,0,1,0,0,0,0,6.4,6.4,Team1,EUW1_7220075826,Bronze4
7467,10,3505,3033,3807,3376,2677,2639,3520,2900,4492,2725,16398,16276,5,5,0,0,0,0,0,1,0,0,0,0,7.2,7.2,Team1,EUW1_7220075826,Bronze4
7468,11,4157,3356,4173,3817,2829,2921,3833,3210,4733,2938,18332,17635,6,5,0,0,0,0,0,1,0,0,0,0,7.6,7.4,Team1,EUW1_7220075826,Bronze4
7469,12,4746,3478,4541,4242,3066,3085,3961,3847,5314,3393,20073,19600,6,7,0,0,0,0,0,1,0,0,0,0,8.2,7.6,Team1,EUW1_7220075826,Bronze4
7470,13,4946,3757,5209,4436,3345,4257,4148,4143,5525,3606,21693,21679,7,8,0,0,0,0,0,2,0,0,0,0,8.4,8.6,Team1,EUW1_7220075826,Bronze4
7471,14,5544,4178,6056,4758,3508,4407,4436,4412,5979,3828,24044,23062,9,8,0,0,0,0,0,2,0,0,0,0,9.0,8.8,Team1,EUW1_7220075826,Bronze4
7472,15,5779,4472,7024,5056,3725,4854,5101,4751,6340,3981,26056,25027,9,9,1,0,0,0,0,2,0,0,0,0,9.4,9.4,Team1,EUW1_7220075826,Bronze4
7473,16,6380,5028,7683,5471,3941,5144,5259,5077,6621,4163,28503,26264,10,9,2,0,0,0,0,2,0,0,0,0,9.8,9.6,Team1,EUW1_7220075826,Bronze4
7474,17,6607,5415,8141,5793,4094,5686,5906,5340,7002,4316,30050,28250,10,10,2,0,0,0,0,2,0,0,0,0,10.2,10.2,Team1,EUW1_7220075826,Bronze4
7475,18,6779,5752,8594,7056,4889,6316,6370,6182,7224,4568,33070,30660,13,10,3,2,0,0,0,2,0,0,0,0,10.8,10.4,Team1,EUW1_7220075826,Bronze4
7476,19,7324,6005,9086,7361,5042,6581,6588,6320,7669,4720,34818,31878,14,10,3,2,0,0,1,2,0,0,0,0,11.0,10.6,Team1,EUW1_7220075826,Bronze4
7477,20,7726,6347,9465,8069,5530,7085,6797,6444,7960,4875,37137,33161,16,10,3,2,0,0,1,2,0,0,0,0,11.4,10.8,Team1,EUW1_7220075826,Bronze4
7478,21,8253,6580,9930,8395,5783,7371,7062,6685,8517,5216,38941,34851,18,11,3,2,0,0,1,2,0,0,0,0,12.0,11.4,Team1,EUW1_7220075826,Bronze4
7479,22,8780,6802,10395,8517,6114,7653,7815,7591,8941,6304,40608,38304,19,14,3,3,0,0,1,2,0,0,0,0,12.4,11.8,Team1,EUW1_7220075826,Bronze4
7480,23,9011,6925,10517,8954,6267,8155,8077,8216,10469,6635,41674,41552,19,15,3,4,0,0,1,2,0,0,0,0,12.4,12.0,Team1,EUW1_7220075826,Bronze4
7481,24,9277,7158,10723,9078,6421,8452,8361,8367,10598,6881,42657,42659,19,15,3,4,0,0,1,2,0,0,0,0,12.4,12.6,Team1,EUW1_7220075826,Bronze4
7482,25,9877,7590,11542,9588,6688,9600,8560,8816,10971,7110,45285,45057,22,16,4,4,0,0,2,2,0,0,0,0,12.8,12.6,Team1,EUW1_7220075826,Bronze4
7483,26,10383,7830,11783,9954,6840,10152,9098,9238,11289,7410,46790,47187,22,18,5,4,0,0,2,2,0,0,0,0,13.2,13.0,Team1,EUW1_7220075826,Bronze4
7484,27,11653,7977,12917,10460,7018,10276,9348,9782,11412,7712,50025,48530,25,19,6,4,0,0,2,2,0,0,0,0,13.4,13.0,Team1,EUW1_7220075826,Bronze4
7485,28,12076,8622,13235,10583,7265,10677,9682,10023,11943,7894,51781,50219,26,20,6,4,0,0,2,2,0,0,0,0,14.0,13.2,Team1,EUW1_7220075826,Bronze4
7486,29,12600,8804,14072,11433,7443,10803,10017,10512,12564,8297,54352,52193,27,21,7,4,0,0,2,2,0,0,0,0,14.2,13.8,Team1,EUW1_7220075826,Bronze4
7487,30,13022,9076,14326,11630,7794,10996,10365,11100,13432,8610,55848,54503,28,23,7,4,0,0,2,2,0,0,0,0,14.4,14.0,Team1,EUW1_7220075826,Bronze4
7488,31,13311,9254,14862,11955,8072,11236,10653,11247,13725,8763,57454,55624,28,23,7,4,0,0,2,3,0,0,0,0,14.6,14.0,Team1,EUW1_7220075826,Bronze4
7489,32,13650,9622,15117,12396,8235,11358,10970,12024,14013,8920,59020,57285,29,24,7,4,0,0,2,3,0,0,0,0,14.8,14.4,Team1,EUW1_7220075826,Bronze4
7490,33,14110,9886,15793,13149,8412,11574,11108,12418,14808,9072,61350,58980,30,26,8,4,0,0,2,3,0,0,0,0,15.0,14.8,Team1,EUW1_7220075826,Bronze4
7491,34,14385,10008,16075,13391,8578,11945,11644,12733,16166,9303,62437,61791,30,28,8,4,0,0,2,3,0,0,0,0,15.2,15.4,Team1,EUW1_7220075826,Bronze4
7492,35,14533,10205,16287,13823,8801,12467,11916,12923,16477,9490,63649,63273,30,28,10,4,0,0,2,3,0,0,0,0,15.4,15.6,Team1,EUW1_7220075826,Bronze4
7493,36,14853,10660,17704,14706,9436,13206,12179,13546,16599,9800,67359,65330,35,31,10,4,0,0,2,3,0,0,0,0,16.2,15.8,Team1,EUW1_7220075826,Bronze4
7494,37,15003,10962,17911,14828,9630,13328,12301,13773,17159,9952,68334,66513,35,31,10,4,0,0,3,3,0,0,0,0,16.2,15.8,Team1,EUW1_7220075826,Bronze4
7495,38,15356,11544,18782,15677,9953,13610,12496,13938,17561,10157,71312,67762,39,32,10,4,0,0,3,3,0,0,0,0,16.4,16.0,Team1,EUW1_7220075826,Bronze4
7496,39,16343,12061,19296,16100,10405,14106,12733,14219,17704,10309,74205,69071,39,32,10,4,0,0,3,3,0,0,1,0,16.8,16.2,Team1,EUW1_7220075826,Bronze4
7497,39,17157,12945,20485,16599,10859,14211,12838,14324,17809,10463,78045,69645,43,32,13,4,2,0,3,3,0,0,1,0,17.4,16.2,Team1,EUW1_7220075826,Bronze4
7498,0,500,500,500,500,500,500,500,500,500,500,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,Team2,EUW1_7191533079,Bronze4
7499,1,500,500,500,500,500,500,500,500,500,500,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,Team2,EUW1_7191533079,Bronze4
7500,2,563,596,598,598,539,563,611,584,542,524,2894,2824,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.2,Team2,EUW1_7191533079,Bronze4
7501,3,762,947,962,976,729,825,993,868,804,738,4376,4228,0,0,0,0,0,0,0,0,0,0,0,0,2.6,2.6,Team2,EUW1_7191533079,Bronze4
7502,4,1006,1315,1253,1974,1224,1350,1465,1129,1336,1073,6772,6353,2,2,0,0,0,0,0,0,0,0,0,0,3.4,3.4,Team2,EUW1_7191533079,Bronze4
7503,5,1128,1613,1892,2131,1465,1646,1836,1450,1584,1272,8229,7788,3,3,0,0,0,0,0,0,0,0,0,0,4.0,4.0,Team2,EUW1_7191533079,Bronze4
7504,6,1568,1940,2158,2380,1661,1768,2139,1817,2105,1554,9707,9383,3,4,0,0,0,0,0,0,0,0,0,0,5.0,4.4,Team2,EUW1_7191533079,Bronze4
7505,7,1819,2262,2464,2734,1939,2096,3037,2165,2466,1784,11218,11548,3,6,0,0,0,0,0,0,0,0,0,0,5.4,5.2,Team2,EUW1_7191533079,Bronze4
7506,8,2510,2654,2656,3195,2455,2219,3536,2587,2826,2356,13470,13524,5,8,0,0,0,0,0,0,0,0,0,0,5.8,5.6,Team2,EUW1_7191533079,Bronze4
7507,9,2754,2815,2804,3317,2685,2563,4122,3072,3108,2996,14375,15861,5,10,0,0,0,0,0,0,0,0,0,0,6.2,6.0,Team2,EUW1_7191533079,Bronze4
7508,10,3275,3213,3147,3729,2838,2854,4423,3261,3464,3520,16202,17522,6,11,0,0,0,0,0,0,0,0,0,0,6.8,6.8,Team2,EUW1_7191533079,Bronze4
7509,11,3487,4100,3445,4247,3106,3177,4682,3426,4192,3757,18385,19234,7,13,0,0,0,0,0,0,0,0,0,0,7.2,7.0,Team2,EUW1_7191533079,Bronze4
7510,12,4149,4464,3906,4547,3353,3341,5459,3707,4474,4303,20419,21284,7,15,0,0,0,0,0,0,0,0,0,0,7.8,7.6,Team2,EUW1_7191533079,Bronze4
7511,13,4376,5144,4742,5062,4153,3632,5581,3957,4702,4509,23477,22381,10,15,0,0,0,0,0,0,0,0,0,0,8.4,8.0,Team2,EUW1_7191533079,Bronze4
7512,14,4943,5757,5120,5355,4527,4065,6171,4919,5854,4972,25702,25981,12,19,0,0,0,0,0,0,0,0,0,0,8.6,8.8,Team2,EUW1_7191533079,Bronze4
7513,15,5340,6078,5489,5778,5355,5082,6608,5480,6179,5175,28040,28524,13,20,1,1,0,0,0,0,0,0,0,0,9.2,8.8,Team2,EUW1_7191533079,Bronze4
7514,16,5951,6831,5661,6401,5567,5267,7147,5918,6428,5936,30411,30696,15,23,2,1,0,0,0,0,0,0,0,0,9.4,9.4,Team2,EUW1_7191533079,Bronze4
7515,17,6207,6953,5996,6627,6743,5937,7658,6128,6889,6186,32526,32798,17,25,2,1,0,0,0,1,0,0,0,0,10.0,9.8,Team2,EUW1_7191533079,Bronze4
7516,18,6557,7529,6447,6820,6946,6456,8076,6833,7205,6813,34299,35383,17,28,3,1,0,0,0,1,0,0,0,0,10.0,10.6,Team2,EUW1_7191533079,Bronze4
7517,19,7337,7673,6743,7128,7098,7136,8513,7372,7807,7412,35979,38240,18,31,4,1,0,0,0,1,0,0,0,0,10.6,11.0,Team2,EUW1_7191533079,Bronze4
7518,20,7460,7986,7089,7313,7251,7467,9269,7812,8226,7807,37099,40581,18,34,4,1,0,0,0,1,0,0,0,0,10.6,11.6,Team2,EUW1_7191533079,Bronze4
7519,21,8455,8655,7286,7553,7640,8165,9441,8557,8833,8156,39589,43152,20,36,5,1,0,0,0,1,0,0,0,0,11.4,12.0,Team2,EUW1_7191533079,Bronze4
7520,22,8613,8873,7682,7675,8729,8441,9726,8760,9554,8847,41572,45328,22,40,5,1,0,0,0,1,0,0,0,0,12.0,12.2,Team2,EUW1_7191533079,Bronze4
7521,23,9014,9200,7812,8020,8881,8744,9849,8945,10103,9000,42927,46641,22,40,5,1,0,0,1,1,0,0,0,0,12.0,12.8,Team2,EUW1_7191533079,Bronze4
7522,24,9799,9592,8666,8486,9752,8866,9976,9125,10226,9452,46295,47645,26,41,5,1,0,0,1,1,0,0,0,0,12.6,12.8,Team2,EUW1_7191533079,Bronze4
7523,25,10042,9890,9029,8944,10068,8990,10483,9291,10552,9636,47973,48952,27,41,5,1,0,0,1,1,0,0,0,0,12.8,12.8,Team2,EUW1_7191533079,Bronze4
7524,26,10249,10231,9269,9366,10284,9574,10986,10149,11366,10215,49399,52290,28,46,5,1,0,0,1,1,0,0,0,0,13.2,13.4,Team2,EUW1_7191533079,Bronze4
7525,27,10468,10354,9725,9594,10749,10796,11458,10463,11959,10559,50890,55235,29,47,5,3,0,0,1,1,0,0,0,0,13.6,14.0,Team2,EUW1_7191533079,Bronze4
7526,28,10682,10588,10460,9827,10902,10921,12293,10702,12290,10972,52459,57178,30,49,5,3,0,0,2,1,0,0,0,0,14.0,14.4,Team2,EUW1_7191533079,Bronze4
7527,29,11029,11015,10658,9949,12260,11647,12415,11125,12487,11673,54911,59347,33,52,5,3,0,0,2,1,0,0,0,0,14.2,14.8,Team2,EUW1_7191533079,Bronze4
7528,30,11236,11391,11017,10093,12600,12416,12893,11796,12947,11825,56337,61877,33,54,5,3,0,0,2,1,0,0,0,0,14.4,15.0,Team2,EUW1_7191533079,Bronze4
7529,31,12169,11958,11846,10705,12913,13084,13074,11920,13464,12033,59591,63575,37,56,5,3,0,0,2,1,0,0,0,0,15.0,15.2,Team2,EUW1_7191533079,Bronze4
7530,32,12770,12161,12501,11321,13292,13236,13226,12043,13946,12186,62045,64637,37,56,7,3,1,0,2,1,0,0,0,0,15.2,15.4,Team2,EUW1_7191533079,Bronze4
7531,33,13317,12612,12854,12354,14179,13358,14450,12360,14430,12638,65316,67236,38,58,9,3,1,0,2,1,0,0,0,0,15.4,16.0,Team2,EUW1_7191533079,Bronze4
7532,34,13457,12869,12977,12476,14644,14012,14910,12556,15438,12988,66423,69904,39,61,9,3,1,0,3,1,0,0,0,0,15.4,16.4,Team2,EUW1_7191533079,Bronze4
7533,35,13679,13091,13618,12796,15800,14135,15033,12678,15769,13370,68984,70985,42,62,10,3,1,0,3,1,0,0,0,0,16.4,16.6,Team2,EUW1_7191533079,Bronze4
7534,36,14241,13743,14400,13118,15977,14648,15736,12822,16059,13522,71479,72787,44,64,11,3,1,0,3,1,0,0,0,0,16.6,16.6,Team2,EUW1_7191533079,Bronze4
7535,37,14525,14160,14822,13370,16542,14770,16371,12982,16332,14272,73419,74727,46,66,11,3,1,0,3,1,0,0,0,0,17.0,17.2,Team2,EUW1_7191533079,Bronze4
7536,38,15045,14548,15180,13582,16838,15816,16518,13313,16884,14449,75193,76980,46,66,11,4,1,0,3,1,0,0,0,0,17.4,17.6,Team2,EUW1_7191533079,Bronze4
7537,39,15167,14691,15477,14115,16991,16870,17081,13717,17443,15165,76441,80276,47,71,11,5,2,0,3,2,0,0,0,0,17.6,17.6,Team2,EUW1_7191533079,Bronze4
7538,39,15202,14726,15511,14149,17064,17090,17215,13851,17704,15309,76652,81169,47,71,11,7,2,0,3,2,0,0,0,0,17.6,17.8,Team2,EUW1_7191533079,Bronze4
7539,0,500,500,500,500,500,500,500,500,500,500,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,Team1,EUW1_7191444412,Bronze4
7540,1,500,500,500,500,500,500,500,500,500,500,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,Team1,EUW1_7191444412,Bronze4
7541,2,598,596,612,591,544,584,611,584,542,551,2941,2872,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.2,Team1,EUW1_7191444412,Bronze4
